TIMESTAMP,LOAD,TEMP
152009 22:00,131.8,61
152009 23:00,119.8,61
162009 0:00,107.9,61
162009 1:00,100.2,61
162009 2:00,98.1,61
162009 3:00,98.5,61
162009 4:00,100.9,61
162009 5:00,108.2,61
162009 6:00,120.8,61
162009 7:00,147.7,61
162009 8:00,156,61
162009 9:00,146.1,61
162009 10:00,147.3,62
162009 11:00,147.2,63
162009 12:00,146.4,61
162009 13:00,145,61
162009 14:00,141.3,64
162009 15:00,139.5,53
162009 16:00,142.7,50
162009 17:00,151.8,48
162009 18:00,168,48
162009 19:00,171.8,48
162009 20:00,168.4,49
162009 21:00,164.1,56
162009 22:00,155.5,61
162009 23:00,142.8,64
172009 0:00,129.2,64
172009 1:00,118.3,64
172009 2:00,112.2,64
172009 3:00,108.7,66
172009 4:00,106.4,66
172009 5:00,107,66
172009 6:00,115,68
172009 7:00,132.1,68
172009 8:00,129.3,61
172009 9:00,115.2,59
172009 10:00,111.4,61
172009 11:00,110.1,61
172009 12:00,110.4,61
172009 13:00,110.5,61
172009 14:00,108.9,59
172009 15:00,107,55
172009 16:00,108.6,52
172009 17:00,117.8,54
172009 18:00,136,52
172009 19:00,141.5,51
172009 20:00,132.6,49
172009 21:00,138.4,48
172009 22:00,142.9,47
172009 23:00,139,46
182009 0:00,133.7,45
182009 1:00,129.7,44
182009 2:00,128.2,43
182009 3:00,129.8,42
182009 4:00,135,40
182009 5:00,142.8,39
182009 6:00,157.6,39
182009 7:00,184.4,41
182009 8:00,186.7,43
182009 9:00,171.9,43
182009 10:00,163.9,45
182009 11:00,157.6,46
182009 12:00,152.5,50
182009 13:00,149.6,54
182009 14:00,143.4,54
182009 15:00,136.2,54
182009 16:00,133.8,54
182009 17:00,143.6,52
182009 18:00,168.2,48
182009 19:00,183.6,45
182009 20:00,186.5,43
182009 21:00,187.9,41
182009 22:00,184.6,39
182009 23:00,176.4,36
192009 0:00,167.8,36
192009 1:00,163,34
192009 2:00,164.3,30
192009 3:00,167.2,28
192009 4:00,172.7,28
192009 5:00,182.1,29
192009 6:00,199.8,30
192009 7:00,227.2,31
192009 8:00,229.1,31
192009 9:00,207.4,32
192009 10:00,189,37
192009 11:00,172.7,41
192009 12:00,158.2,45
192009 13:00,144.4,46
192009 14:00,134.3,48
192009 15:00,128.5,50
192009 16:00,128.2,50
192009 17:00,139.7,48
192009 18:00,169.7,41
192009 19:00,190.3,37
192009 20:00,196.1,34
192009 21:00,198.8,34
192009 22:00,198.3,32
192009 23:00,193.2,32
1102009 0:00,185.8,32
1102009 1:00,180.2,32
1102009 2:00,177.3,30
1102009 3:00,176,30
1102009 4:00,177.2,30
1102009 5:00,179.4,30
1102009 6:00,185.4,30
1102009 7:00,194,28
1102009 8:00,202.5,30
1102009 9:00,198.9,34
1102009 10:00,181.2,43
1102009 11:00,163,52
1102009 12:00,147.4,57
1102009 13:00,134.4,59
1102009 14:00,123.5,60
1102009 15:00,116.5,61
1102009 16:00,115.1,61
1102009 17:00,118.9,61
1102009 18:00,134.6,59
1102009 19:00,141.8,59
1102009 20:00,137.8,54
1102009 21:00,134.4,59
1102009 22:00,128.6,59
1102009 23:00,120.3,55
1112009 0:00,111.7,57
1112009 1:00,103.5,57
1112009 2:00,97.9,57
1112009 3:00,95.3,55
1112009 4:00,94.2,54
1112009 5:00,94.2,54
1112009 6:00,97.1,54
1112009 7:00,103.1,52
1112009 8:00,113.4,52
1112009 9:00,127.5,52
1112009 10:00,134.1,52
1112009 11:00,128.5,52
1112009 12:00,120.9,53
1112009 13:00,120.5,53
1112009 14:00,121.4,53
1112009 15:00,121.9,54
1112009 16:00,124.2,54
1112009 17:00,131.2,52
1112009 18:00,148,50
1112009 19:00,156.7,48
1112009 20:00,159,46
1112009 21:00,159.1,45
1112009 22:00,154.4,46
1112009 23:00,144.9,45
1122009 0:00,135.7,43
1122009 1:00,131.3,41
1122009 2:00,130.7,36
1122009 3:00,133,34
1122009 4:00,137.3,32
1122009 5:00,145.6,32
1122009 6:00,163.7,30
1122009 7:00,191.5,28
1122009 8:00,196.2,28
1122009 9:00,182.5,36
1122009 10:00,166.6,39
1122009 11:00,153.2,43
1122009 12:00,143.1,45
1122009 13:00,134.1,46
1122009 14:00,127.1,46
1122009 15:00,123.2,48
1122009 16:00,124.3,48
1122009 17:00,137.4,46
1122009 18:00,171.8,39
1122009 19:00,196.4,36
1122009 20:00,202.7,36
1122009 21:00,205.5,32
1122009 22:00,198.3,30
1122009 23:00,186.6,30
1132009 0:00,175.8,30
1132009 1:00,169.4,30
1132009 2:00,167.7,30
1132009 3:00,167.4,30
1132009 4:00,165.9,30
1132009 5:00,167.7,31
1132009 6:00,178.7,32
1132009 7:00,200.3,32
1132009 8:00,198.2,32
1132009 9:00,184.3,34
1132009 10:00,178.5,36
1132009 11:00,173.8,37
1132009 12:00,170.6,39
1132009 13:00,167.4,41
1132009 14:00,165.2,41
1132009 15:00,163.2,43
1132009 16:00,167.4,45
1132009 17:00,176.7,43
1132009 18:00,192.1,37
1132009 19:00,199.7,36
1132009 20:00,200.2,32
1132009 21:00,197.4,32
1132009 22:00,191,32
1132009 23:00,182.9,33
1142009 0:00,173.1,33
1142009 1:00,168.5,34
1142009 2:00,169.2,30
1142009 3:00,170.6,28
1142009 4:00,174.3,28
1142009 5:00,182.6,32
1142009 6:00,200.9,32
1142009 7:00,228.9,27
1142009 8:00,229.8,23
1142009 9:00,208.4,32
1142009 10:00,191.6,34
1142009 11:00,177.4,36
1142009 12:00,164.7,39
1142009 13:00,153.4,43
1142009 14:00,144.7,45
1142009 15:00,139.1,46
1142009 16:00,140.8,46
1142009 17:00,155.3,45
1142009 18:00,190.3,43
1142009 19:00,215.7,41
1142009 20:00,221.4,39
1142009 21:00,222.9,37
1142009 22:00,215.7,37
1142009 23:00,203.4,37
1152009 0:00,190.5,39
1152009 1:00,183.6,37
1152009 2:00,180.6,36
1152009 3:00,179.9,36
1152009 4:00,181.9,34
1152009 5:00,187,32
1152009 6:00,202.2,28
1152009 7:00,226.3,27
1152009 8:00,224.3,27
1152009 9:00,201.3,34
1152009 10:00,181.3,41
1152009 11:00,166.9,45
1152009 12:00,155.8,45
1152009 13:00,146.2,45
1152009 14:00,141.5,45
1152009 15:00,139.9,45
1152009 16:00,145.3,45
1152009 17:00,165.4,43
1152009 18:00,203.2,37
1152009 19:00,229.7,36
1152009 20:00,239.8,32
1152009 21:00,244.5,32
1152009 22:00,242.5,30
1152009 23:00,235.6,28
1162009 0:00,228.4,27
1162009 1:00,226.2,27
1162009 2:00,228.3,23
1162009 3:00,232.6,22
1162009 4:00,239.2,21
1162009 5:00,250.9,19
1162009 6:00,269.2,19
1162009 7:00,291.9,16
1162009 8:00,291.8,16
1162009 9:00,272.8,21
1162009 10:00,261.3,23
1162009 11:00,246.3,25
1162009 12:00,233.8,27
1162009 13:00,220.2,28
1162009 14:00,209.8,30
1162009 15:00,204.3,30
1162009 16:00,206.2,30
1162009 17:00,224.4,30
1162009 18:00,259.8,28
1162009 19:00,274.9,27
1162009 20:00,276.8,25
1162009 21:00,276.1,21
1162009 22:00,271.6,19
1162009 23:00,266,18
1172009 0:00,262.3,14
1172009 1:00,260.9,12
1172009 2:00,264.8,12
1172009 3:00,271.1,12
1172009 4:00,277.2,10
1172009 5:00,283.9,10
1172009 6:00,291.9,10
1172009 7:00,298.2,9
1172009 8:00,300.6,13
1172009 9:00,295,18
1172009 10:00,276.2,21
1172009 11:00,257.2,26
1172009 12:00,235.5,30
1172009 13:00,216.9,32
1172009 14:00,200.9,34
1172009 15:00,190.8,36
1172009 16:00,191.7,36
1172009 17:00,204.6,36
1172009 18:00,231.9,32
1172009 19:00,247.9,32
1172009 20:00,248,34
1172009 21:00,245.3,34
1172009 22:00,240.1,34
1172009 23:00,230.7,34
1182009 0:00,219.5,34
1182009 1:00,208.8,34
1182009 2:00,202.6,34
1182009 3:00,199.7,36
1182009 4:00,197.6,36
1182009 5:00,196.6,36
1182009 6:00,198.3,37
1182009 7:00,203,38
1182009 8:00,212.7,39
1182009 9:00,225.2,39
1182009 10:00,227.7,41
1182009 11:00,216.8,40
1182009 12:00,204.2,40
1182009 13:00,199.4,40
1182009 14:00,195.6,41
1182009 15:00,193.1,40
1182009 16:00,190.2,41
1182009 17:00,190.8,41
1182009 18:00,197.9,41
1182009 19:00,198.6,38
1182009 20:00,195.7,35
1182009 21:00,191.7,31
1182009 22:00,185.1,29
1182009 23:00,179,34
1192009 0:00,170.3,36
1192009 1:00,163.6,28
1192009 2:00,161.3,28
1192009 3:00,161.9,27
1192009 4:00,164.9,26
1192009 5:00,170.4,27
1192009 6:00,179.3,28
1192009 7:00,192,27
1192009 8:00,200.7,27
1192009 9:00,205.3,31
1192009 10:00,203.8,36
1192009 11:00,196.2,43
1192009 12:00,185.5,45
1192009 13:00,172.3,48
1192009 14:00,161.7,50
1192009 15:00,154,49
1192009 16:00,150.8,49
1192009 17:00,158.9,47
1192009 18:00,179.3,46
1192009 19:00,194.4,44
1192009 20:00,194.7,41
1192009 21:00,191.5,40
1192009 22:00,183.9,41
1192009 23:00,174.1,40
1202009 0:00,163.2,40
1202009 1:00,156.2,38
1202009 2:00,156.2,35
1202009 3:00,161.2,33
1202009 4:00,170.3,32
1202009 5:00,183.2,32
1202009 6:00,200.6,31
1202009 7:00,218.4,29
1202009 8:00,231.4,28
1202009 9:00,239.2,27
1202009 10:00,249.1,28
1202009 11:00,253,28
1202009 12:00,250.7,29
1202009 13:00,248.7,31
1202009 14:00,249.5,30
1202009 15:00,244.4,32
1202009 16:00,241.5,33
1202009 17:00,244.4,32
1202009 18:00,257.3,28
1202009 19:00,263.3,27
1202009 20:00,259.5,29
1202009 21:00,252.3,28
1202009 22:00,245.5,26
1202009 23:00,236.9,26
1212009 0:00,229.1,24
1212009 1:00,226.2,23
1212009 2:00,228.8,22
1212009 3:00,232.2,19
1212009 4:00,237.9,15
1212009 5:00,245.8,13
1212009 6:00,259.3,12
1212009 7:00,275.4,11
1212009 8:00,284.1,13
1212009 9:00,273.1,19
1212009 10:00,249.2,26
1212009 11:00,228.5,30
1212009 12:00,211.4,32
1212009 13:00,196.1,33
1212009 14:00,186.1,35
1212009 15:00,180.2,36
1212009 16:00,180.6,38
1212009 17:00,193.9,37
1212009 18:00,226.7,33
1212009 19:00,251.5,28
1212009 20:00,255.7,27
1212009 21:00,255.4,24
1212009 22:00,249.2,23
1212009 23:00,237.7,22
1222009 0:00,226.8,21
1222009 1:00,222,21
1222009 2:00,222.2,19
1222009 3:00,224,19
1222009 4:00,226.3,17
1222009 5:00,231.7,17
1222009 6:00,245.7,17
1222009 7:00,267.3,16
1222009 8:00,267.6,17
1222009 9:00,244,24
1222009 10:00,216.7,31
1222009 11:00,191.9,36
1222009 12:00,174.1,40
1222009 13:00,159.6,44
1222009 14:00,148.5,44
1222009 15:00,142.2,44
1222009 16:00,141.9,44
1222009 17:00,151.9,44
1222009 18:00,179.7,44
1222009 19:00,205,35
1222009 20:00,209.6,32
1222009 21:00,210.5,31
1222009 22:00,205.3,31
1222009 23:00,194,32
1232009 0:00,182.9,32
1232009 1:00,176.5,37
1232009 2:00,176.8,37
1232009 3:00,178.3,37
1232009 4:00,181.1,37
1232009 5:00,187.7,32
1232009 6:00,202.4,33
1232009 7:00,226,32
1232009 8:00,225.7,29
1232009 9:00,201.2,38
1232009 10:00,179.1,45
1232009 11:00,159.3,50
1232009 12:00,143.6,56
1232009 13:00,130.1,55
1232009 14:00,121,60
1232009 15:00,115.6,59
1232009 16:00,114.7,59
1232009 17:00,122.1,58
1232009 18:00,142.8,57
1232009 19:00,164.5,56
1232009 20:00,167.2,54
1232009 21:00,167.3,52
1232009 22:00,163.4,52
1232009 23:00,156.7,54
1242009 0:00,146.9,54
1242009 1:00,137.4,54
1242009 2:00,132,54
1242009 3:00,128.7,54
1242009 4:00,127.2,54
1242009 5:00,128.6,53
1242009 6:00,133.6,53
1242009 7:00,140.9,51
1242009 8:00,148.7,54
1242009 9:00,157.1,54
1242009 10:00,156.6,56
1242009 11:00,149.3,57
1242009 12:00,143.4,58
1242009 13:00,137.8,57
1242009 14:00,132.9,59
1242009 15:00,130.7,59
1242009 16:00,132.3,59
1242009 17:00,139.7,58
1242009 18:00,157.2,54
1242009 19:00,171.6,51
1242009 20:00,174.4,51
1242009 21:00,176.6,50
1242009 22:00,177.5,50
1242009 23:00,176.5,47
1252009 0:00,173.7,44
1252009 1:00,171.6,42
1252009 2:00,173.5,40
1252009 3:00,177.5,39
1252009 4:00,182.9,39
1252009 5:00,189.8,38
1252009 6:00,198.9,38
1252009 7:00,209.1,37
1252009 8:00,221.9,37
1252009 9:00,236.4,37
1252009 10:00,238.5,37
1252009 11:00,226.7,37
1252009 12:00,211.3,38
1252009 13:00,204.6,39
1252009 14:00,202.2,39
1252009 15:00,200,40
1252009 16:00,197.8,40
1252009 17:00,200.1,40
1252009 18:00,209.2,39
1252009 19:00,217.4,39
1252009 20:00,217.9,38
1252009 21:00,215.4,38
1252009 22:00,207,37
1252009 23:00,193.1,37
1262009 0:00,180.7,36
1262009 1:00,171.9,36
1262009 2:00,169.9,36
1262009 3:00,170,36
1262009 4:00,171.6,36
1262009 5:00,176.1,36
1262009 6:00,189.9,36
1262009 7:00,213.7,36
1262009 8:00,213.7,37
1262009 9:00,201.6,37
1262009 10:00,195.3,38
1262009 11:00,188.8,39
1262009 12:00,182.8,40
1262009 13:00,171.5,42
1262009 14:00,162.4,43
1262009 15:00,153.9,44
1262009 16:00,152.9,44
1262009 17:00,162.1,44
1262009 18:00,184.5,43
1262009 19:00,201.4,43
1262009 20:00,202.5,43
1262009 21:00,199,42
1262009 22:00,189.2,42
1262009 23:00,174.8,42
1272009 0:00,161.2,42
1272009 1:00,153.6,42
1272009 2:00,150.9,42
1272009 3:00,150.5,41
1272009 4:00,151.7,41
1272009 5:00,157.3,41
1272009 6:00,171,37
1272009 7:00,194.7,38
1272009 8:00,196.2,38
1272009 9:00,183.6,41
1272009 10:00,179.3,43
1272009 11:00,176.3,47
1272009 12:00,172.8,49
1272009 13:00,167.5,49
1272009 14:00,164.4,51
1272009 15:00,163.8,51
1272009 16:00,167.1,52
1272009 17:00,175,52
1272009 18:00,191.6,51
1272009 19:00,199.6,50
1272009 20:00,198.3,50
1272009 21:00,192.8,49
1272009 22:00,184.9,49
1272009 23:00,171.2,49
1282009 0:00,156.9,48
1282009 1:00,147.4,48
1282009 2:00,143.5,48
1282009 3:00,142.2,47
1282009 4:00,142.5,50
1282009 5:00,146.3,50
1282009 6:00,156.1,52
1282009 7:00,176.1,54
1282009 8:00,178.3,57
1282009 9:00,165,59
1282009 10:00,152.2,62
1282009 11:00,138.5,62
1282009 12:00,127.5,63
1282009 13:00,117.7,63
1282009 14:00,110.5,64
1282009 15:00,106.8,64
1282009 16:00,107.2,65
1282009 17:00,113,60
1282009 18:00,128,57
1282009 19:00,138.7,56
1282009 20:00,138.2,55
1282009 21:00,135.8,54
1282009 22:00,130.8,53
1282009 23:00,121.5,51
1292009 0:00,112,48
1292009 1:00,107.7,47
1292009 2:00,107.6,46
1292009 3:00,110.4,44
1292009 4:00,115.8,42
1292009 5:00,126.4,39
1292009 6:00,147,37
1292009 7:00,179.2,35
1292009 8:00,186,34
1292009 9:00,174.2,39
1292009 10:00,160.2,42
1292009 11:00,146.1,46
1292009 12:00,134.7,49
1292009 13:00,124.6,51
1292009 14:00,118,54
1292009 15:00,113,54
1292009 16:00,113.4,55
1292009 17:00,124.1,54
1292009 18:00,147.6,49
1292009 19:00,174.1,42
1292009 20:00,183.5,38
1292009 21:00,187.6,36
1292009 22:00,186.9,35
1292009 23:00,179.9,34
1302009 0:00,170.7,33
1302009 1:00,165.2,31
1302009 2:00,165.8,31
1302009 3:00,169.9,30
1302009 4:00,175.6,29
1302009 5:00,184.1,28
1302009 6:00,200.3,28
1302009 7:00,225.1,29
1302009 8:00,227.6,28
1302009 9:00,210,33
1302009 10:00,190.8,41
1302009 11:00,168.6,46
1302009 12:00,151.5,49
1302009 13:00,136.5,50
1302009 14:00,126.4,50
1302009 15:00,121.6,50
1302009 16:00,121.9,49
1302009 17:00,131.4,46
1302009 18:00,155.6,43
1302009 19:00,181.9,40
1302009 20:00,189.5,36
1302009 21:00,193.6,37
1302009 22:00,194.1,35
1302009 23:00,191.6,34
1312009 0:00,185.8,33
1312009 1:00,181.2,33
1312009 2:00,181.9,28
1312009 3:00,184.5,26
1312009 4:00,188.1,25
1312009 5:00,194.9,26
1312009 6:00,205.2,25
1312009 7:00,216.9,22
1312009 8:00,227.7,26
1312009 9:00,227.4,32
1312009 10:00,218.8,38
1312009 11:00,203.9,44
1312009 12:00,189,47
1312009 13:00,174.5,47
1312009 14:00,163.3,49
1312009 15:00,154.6,51
1312009 16:00,150.9,50
1312009 17:00,156.2,50
1312009 18:00,177.6,45
1312009 19:00,202.3,36
1312009 20:00,209.2,32
1312009 21:00,213.9,32
1312009 22:00,212.2,32
1312009 23:00,205.4,37
212009 0:00,195.9,34
212009 1:00,187.7,35
212009 2:00,183.9,34
212009 3:00,182.4,34
212009 4:00,181.9,35
212009 5:00,183,36
212009 6:00,185.3,29
212009 7:00,191.6,31
212009 8:00,201.3,28
212009 9:00,202.9,41
212009 10:00,187.4,48
212009 11:00,164.7,52
212009 12:00,144.5,56
212009 13:00,133.6,59
212009 14:00,126.2,59
212009 15:00,120.8,59
212009 16:00,117.1,59
212009 17:00,120.7,60
212009 18:00,133.6,55
212009 19:00,150.6,54
212009 20:00,152.8,51
212009 21:00,156.6,51
212009 22:00,153.8,50
212009 23:00,149.9,49
222009 0:00,141.4,47
222009 1:00,133.4,45
222009 2:00,131.5,44
222009 3:00,132.2,39
222009 4:00,135.7,40
222009 5:00,144.6,32
222009 6:00,160.9,31
222009 7:00,187.7,29
222009 8:00,186.9,29
222009 9:00,164.7,34
222009 10:00,144.9,47
222009 11:00,130.2,56
222009 12:00,118.7,61
222009 13:00,110.6,62
222009 14:00,107.2,61
222009 15:00,106.3,61
222009 16:00,107.3,60
222009 17:00,115,59
222009 18:00,133.3,56
222009 19:00,151.2,55
222009 20:00,154,54
222009 21:00,151.7,52
222009 22:00,143.7,47
222009 23:00,133.5,44
232009 0:00,124.3,41
232009 1:00,120.8,38
232009 2:00,123.5,38
232009 3:00,128.4,37
232009 4:00,136.6,36
232009 5:00,148.3,34
232009 6:00,167.9,33
232009 7:00,196.3,32
232009 8:00,201.8,32
232009 9:00,192.9,36
232009 10:00,189,38
232009 11:00,184.2,41
232009 12:00,179.2,43
232009 13:00,173.7,45
232009 14:00,166.6,46
232009 15:00,158.9,47
232009 16:00,155.2,47
232009 17:00,161,46
232009 18:00,182.8,44
232009 19:00,208.4,43
232009 20:00,214.3,42
232009 21:00,215.5,39
232009 22:00,209.9,36
232009 23:00,196.9,36
242009 0:00,181.2,36
242009 1:00,172.3,33
242009 2:00,169.3,32
242009 3:00,169.2,31
242009 4:00,172.4,27
242009 5:00,182,25
242009 6:00,200.2,24
242009 7:00,225.1,24
242009 8:00,231.1,23
242009 9:00,224.9,24
242009 10:00,213.8,26
242009 11:00,202.5,28
242009 12:00,192,31
242009 13:00,180.7,33
242009 14:00,173.4,34
242009 15:00,169.3,35
242009 16:00,175,36
242009 17:00,192,34
242009 18:00,219.1,32
242009 19:00,242.2,31
242009 20:00,245.9,29
242009 21:00,244.8,28
242009 22:00,239.3,27
242009 23:00,229.3,25
252009 0:00,219.3,25
252009 1:00,216.2,24
252009 2:00,217.9,23
252009 3:00,222.4,22
252009 4:00,227.9,20
252009 5:00,237.9,19
252009 6:00,255.7,18
252009 7:00,284.2,18
252009 8:00,283.3,18
252009 9:00,261.1,24
252009 10:00,245.2,26
252009 11:00,228.7,28
252009 12:00,214.2,30
252009 13:00,199.6,32
252009 14:00,189.6,34
252009 15:00,182.9,35
252009 16:00,184.9,35
252009 17:00,197.1,36
252009 18:00,225.7,32
252009 19:00,256.6,28
252009 20:00,265.4,26
252009 21:00,270,24
252009 22:00,266.3,22
252009 23:00,254.7,23
262009 0:00,245.2,25
262009 1:00,242.2,26
262009 2:00,243.1,26
262009 3:00,245.8,24
262009 4:00,248.2,22
262009 5:00,244.8,20
262009 6:00,258.7,20
262009 7:00,281.4,26
262009 8:00,275.8,26
262009 9:00,243,33
262009 10:00,223.7,38
262009 11:00,202.6,41
262009 12:00,182,41
262009 13:00,162.7,42
262009 14:00,148.2,42
262009 15:00,138.5,42
262009 16:00,134.9,42
262009 17:00,140.5,42
262009 18:00,161.6,43
262009 19:00,190.1,43
262009 20:00,198.6,40
262009 21:00,202.6,35
262009 22:00,202,33
262009 23:00,196.4,33
272009 0:00,187.7,32
272009 1:00,181.7,30
272009 2:00,179.4,30
272009 3:00,180.5,29
272009 4:00,182.6,28
272009 5:00,186.7,28
272009 6:00,194.5,27
272009 7:00,204.2,27
272009 8:00,211.6,30
272009 9:00,203.9,38
272009 10:00,182.7,48
272009 11:00,160.6,55
272009 12:00,141.1,62
272009 13:00,126.3,62
272009 14:00,115.8,63
272009 15:00,108.7,64
272009 16:00,106.1,64
272009 17:00,106.7,65
272009 18:00,114.4,65
272009 19:00,133.3,61
272009 20:00,136.8,60
272009 21:00,138.1,60
272009 22:00,136.2,57
272009 23:00,132.3,56
282009 0:00,125.7,55
282009 1:00,119.8,53
282009 2:00,116.8,51
282009 3:00,116.5,50
282009 4:00,118,50
282009 5:00,121.1,50
282009 6:00,126.1,48
282009 7:00,134.6,47
282009 8:00,146.1,49
282009 9:00,153.9,53
282009 10:00,145.6,60
282009 11:00,128.9,67
282009 12:00,115.2,70
282009 13:00,109.9,72
282009 14:00,105.3,73
282009 15:00,102.1,75
282009 16:00,98.6,74
282009 17:00,99.6,73
282009 18:00,105.3,67
282009 19:00,122.5,58
282009 20:00,125.1,53
282009 21:00,124.4,49
282009 22:00,119,48
282009 23:00,110.9,46
292009 0:00,102.9,44
292009 1:00,98.3,43
292009 2:00,98.7,41
292009 3:00,101.9,40
292009 4:00,107.6,38
292009 5:00,117.7,37
292009 6:00,138.8,38
292009 7:00,171.6,35
292009 8:00,176.6,37
292009 9:00,154.7,44
292009 10:00,137.5,54
292009 11:00,123.8,62
292009 12:00,114.3,65
292009 13:00,107.4,68
292009 14:00,102.5,70
292009 15:00,98.8,70
292009 16:00,97.9,70
292009 17:00,103.2,67
292009 18:00,119.6,62
292009 19:00,145.7,56
292009 20:00,153.8,54
292009 21:00,155,56
292009 22:00,151.3,53
292009 23:00,142,55
2102009 0:00,132.6,55
2102009 1:00,126.3,54
2102009 2:00,125,53
2102009 3:00,125,54
2102009 4:00,126.7,54
2102009 5:00,132.2,54
2102009 6:00,147.6,54
2102009 7:00,172.2,52
2102009 8:00,167.6,52
2102009 9:00,143.5,56
2102009 10:00,126,61
2102009 11:00,113.4,65
2102009 12:00,106,67
2102009 13:00,101.5,69
2102009 14:00,98.4,70
2102009 15:00,96.9,71
2102009 16:00,96.1,70
2102009 17:00,99.3,69
2102009 18:00,109.2,65
2102009 19:00,128.9,64
2102009 20:00,131.6,62
2102009 21:00,128.1,59
2102009 22:00,121,60
2102009 23:00,109.2,60
2112009 0:00,97.6,58
2112009 1:00,89.8,56
2112009 2:00,86.8,56
2112009 3:00,86.5,56
2112009 4:00,87.3,56
2112009 5:00,92.8,55
2112009 6:00,106.4,55
2112009 7:00,130.8,54
2112009 8:00,130,54
2112009 9:00,117,56
2112009 10:00,109.7,61
2112009 11:00,104.4,68
2112009 12:00,97.9,69
2112009 13:00,99.8,72
2112009 14:00,95.7,72
2112009 15:00,94.2,74
2112009 16:00,94.3,73
2112009 17:00,98.4,72
2112009 18:00,107.7,71
2112009 19:00,125.3,69
2112009 20:00,126.5,68
2112009 21:00,122.6,67
2112009 22:00,114.7,68
2112009 23:00,104.4,64
2122009 0:00,92.2,61
2122009 1:00,83.2,59
2122009 2:00,78.4,57
2122009 3:00,76.6,54
2122009 4:00,77.4,53
2122009 5:00,81.3,52
2122009 6:00,93.5,50
2122009 7:00,117,49
2122009 8:00,119.8,51
2122009 9:00,111,55
2122009 10:00,105.8,60
2122009 11:00,102.6,64
2122009 12:00,100.3,65
2122009 13:00,97.6,67
2122009 14:00,95.6,68
2122009 15:00,93.3,69
2122009 16:00,92.6,69
2122009 17:00,96.8,67
2122009 18:00,106.2,63
2122009 19:00,128.3,59
2122009 20:00,133.8,57
2122009 21:00,133.9,52
2122009 22:00,129.8,54
2122009 23:00,121.2,53
2132009 0:00,111.5,51
2132009 1:00,105.7,49
2132009 2:00,103.7,52
2132009 3:00,104.6,52
2132009 4:00,106.7,48
2132009 5:00,113.1,39
2132009 6:00,131,37
2132009 7:00,159.2,36
2132009 8:00,160.4,41
